Index,Word,Frequency
0,transformer,246
1,tag,185
2,transformers,177
3,protection,131
4,The,126
5,winding,97
6,test,94
7,oil,84
8,Table,79
9,current,62
10,A,61
11,tap,61
12,fault,59
13,insulation,57
14,ground,54
15,relay,51
16,FM,51
17,core,48
18,Transformers,46
19,system,46
20,used,45
21,also,45
22,windings,44
23,Section,43
24,electrical,43
25,factor,43
26,Transformer,42
27,3,42
28,Approved,42
29,testing,41
30,power,41
31,following,40
32,fluid,39
33,2,38
34,voltage,38
35,1,37
36,changer,37
37,5,37
38,This,37
39,T,36
40,fire,36
41,faults,35
42,Subsection,35
43,overcurrent,34
44,Fig,33
45,bushings,33
46,resistance,32
47,high,31
48,paper,31
49,monitoring,31
50,results,30
51,bushing,30
52,tank,30
53,condition,29
54,Protection,29
55,Power,29
56,For,29
57,provide,28
58,B,28
59,frequency,28
60,tests,27
61,Data,27
62,performed,27
63,accordance,26
64,containment,26
65,low,26
66,15,26
67,analysis,25
68,Sheet,25
69,Fire,24
70,may,24
71,using,24
72,gases,24
73,equipment,24
74,DGA,24
75,Provide,23
76,50,23
77,main,23
78,water,23
79,changes,23
80,measured,22
81,response,22
82,needed,22
83,internal,22
84,25,22
85,Liquid,22
86,exposed,21
87,differential,21
88,temperature,21
89,measurement,21
90,It,21
91,connected,21
92,determine,21
93,per,21
94,one,21
95,online,21
96,4,20
97,8,20
98,systems,20
99,construction,19
100,Factor,19
101,kVA,19
102,protective,19
103,value,19
104,problems,19
105,Time,19
106,gas,19
107,delay,19
108,recommendations,19
109,Oil,18
110,exciting,18
111,Where,18
112,pressure,18
113,use,18
114,ft,18
115,size,18
116,discharge,18
117,provided,18
118,separation,17
119,capacitance,17
120,See,17
121,greater,17
122,These,17
123,10,17
124,Perform,17
125,Ground,17
126,ppm,17
127,contamination,17
128,well,17
129,buildings,17
130,In,17
131,device,17
132,spray,16
133,moisture,16
134,100,16
135,Device,16
136,minimum,16
137,secondary,16
138,guidance,16
139,set,16
140,building,16
141,file,16
142,operation,16
143,insulating,16
144,Typical,15
145,including,15
146,within,15
147,Figure,15
148,wye,15
149,detect,15
150,dissolved,15
151,data,15
152,kV,15
153,phase,14
154,limits,14
155,gal,14
156,Systems,14
157,REVISION,14
158,level,14
159,currents,14
160,loss,14
161,6,14
162,38,14
163,I,14
164,ASTM,14
165,rooms,13
166,less,13
167,primary,13
168,Monitoring,13
169,conditions,13
170,fluids,13
171,30,13
172,Fluid,13
173,concentration,13
174,perform,13
175,Winding,13
176,area,13
177,Partial,13
178,20,13
179,PCB,13
180,rate,13
181,GLOSSARY,13
182,recommended,13
183,design,13
184,Electrical,13
185,scheme,13
186,least,13
187,Building,12
188,maintenance,12
189,m³,12
190,distance,12
191,multiple,12
192,sprinkler,12
193,barrier,12
194,No,12
195,based,12
196,room,12
197,exposure,12
198,nameplate,12
199,emergency,12
200,If,12
201,two,12
202,damage,12
203,min,12
204,levels,12
205,Test,12
206,important,11
207,Separation,11
208,plan,11
209,X,11
210,thermal,11
211,High,11
212,needs,11
213,measure,11
214,delta,11
215,sensors,11
216,19,11
217,three,11
218,Use,11
219,wall,11
220,replaced,11
221,Purpose,11
222,could,11
223,lead,11
224,different,11
225,cause,11
226,neutral,11
227,operating,10
228,Main,10
229,strength,10
230,Z,10
231,time,10
232,furan,10
233,Y,10
234,Approval,10
235,Carbon,10
236,leads,10
237,magnitude,10
238,leakage,10
239,Construction,10
240,Gas,10
241,see,10
242,7,10
243,Type,10
244,include,10
245,reference,10
246,movement,10
247,information,10
248,roof,10
249,Insulation,10
250,made,10
251,Core,10
252,alternative,10
253,generate,10
254,Instantaneous,10
255,Tests,10
256,circuited,10
257,ratio,10
258,new,10
259,alternatives,9
260,screen,9
261,indoor,9
262,history,9
263,spill,9
264,Containment,9
