Index,Word,Frequency
0,transformer,159
1,protection,131
2,tag,102
3,test,88
4,oil,84
5,fault,58
6,insulation,57
7,ground,54
8,relay,50
9,system,46
10,factor,42
11,power,41
12,core,37
13,voltage,35
14,tap,34
15,resistance,32
16,paper,31
17,fire,29
18,condition,28
19,overcurrent,28
20,tank,28
21,frequency,27
22,changer,27
23,analysis,24
24,fluid,24
25,equipment,24
26,water,23
27,response,22
28,accordance,22
29,containment,22
30,gas,19
31,construction,19
32,value,19
33,delay,19
34,temperature,19
35,pressure,18
36,size,18
37,discharge,18
38,contamination,17
39,monitoring,17
40,winding,17
41,device,17
42,operation,16
43,guidance,16
44,measurement,16
45,moisture,16
46,separation,15
47,capacitance,15
48,spray,15
49,file,15
50,building,14
51,loss,14
52,phase,14
53,concentration,13
54,scheme,13
55,area,13
56,rate,13
57,distance,12
58,room,12
59,min,12
60,design,12
61,level,12
62,damage,12
63,emergency,12
64,maintenance,11
65,delta,11
66,barrier,11
67,plan,11
