Index,Section_Title,Content
0, DS5-4,"FM Global5-4 Property Loss Prevention Data Sheets July 2019  TRANSFORMERS  ©2019 Factory Mutual Insurance Company. All rights reserved. No part of this document may be reproduced, stored in a retrieval system, or transmitted, in whole or in part, in any form or by any means, electronic, mechanical, photocopying, recording, or otherwise, without written permission of Factory Mutual Insurance Company."
1, DS5-4,Table of Contents  Chapter 1.0 SCOPE..................................................................................................................................................... 3 Section 1.1 Changes ............................................................................................................................................ 3 Section 1.2 Hazards ............................................................................................................................................ 3 Chapter 2.0 LOSS PREVENTION RECOMMENDATIONS....................................................................................... 3 Section 2.1 Electrical Loss Prevention ............................................................................................................... 3 Subsection 2.1.1 Electrical Protection ................................................................................................................ 3 Subsection 2.1.2 Transportation of Transformers ............................................................................................ 10 Subsection 2.1.3 Operation and Maintenance ................................................................................................. 11 Subsection 2.1.4 Online Condition Monitoring ................................................................................................. 14 Subsection 2.1.5 Operation ............................................................................................................................... 16 Subsection 2.1.6 Contingency Planning ........................................................................................................... 17 Section 2.2 Fire Protection for Indoor Transformers ........................................................................................ 17 Subsection 2.2.1 Construction and Location .................................................................................................. 17 Subsection 2.2.2 Occupancy ........................................................................................................................... 19 Subsection 2.2.3 Protection ............................................................................................................................. 19 Subsection 2.2.4 Human Factor ........................................................................................................................ 20 Subsection 2.2.5 Fire Protection for Transformer Production Test Areas ......................................................... 20 Section 2.3 Fire Protection for Outdoor Transformers ...................................................................................... 20 Subsection 2.3.1 Location and Construction ................................................................................................... 20 Subsection 2.3.2 Active Protection for Outdoor Transformers ......................................................................... 25 Subsection 2.3.3 Occupancy ........................................................................................................................... 27 Subsection 2.3.4 Human Factor ....................................................................................................................... 27 Section 2.4 Transformers Insulated with Liquids Containing Polychlorinated Biphenyls (PCBs) ..................... 27 Chapter 3.0 SUPPORT FOR RECOMMENDATIONS............................................................................................... 28 Section 3.1 Transformer Testing Diagnostics .................................................................................................... 28 Subsection 3.1.1 Thermography ...................................................................................................................... 28 Subsection 3.1.2 Fluid Screen Testing .............................................................................................................. 29 Subsection 3.1.3 Dissolved Gas Analysis ......................................................................................................... 30 Subsection 3.1.4 Exciting Current ..................................................................................................................... 33 Subsection 3.1.5 Turns Ratio for On-Load Tap Changers ............................................................................... 33 Subsection 3.1.6 Leakage Inductance .............................................................................................................. 33 Subsection 3.1.7 Power Factor and Capacitance ........................................................................................... 34 Subsection 3.1.8 Frequency Response Analysis .............................................................................................. 35 Subsection 3.1.9 Insulation Resistance ........................................................................................................... 36 Subsection 3.1.10 Winding Resistance ........................................................................................................... 37 Subsection 3.1.11 Core Insulation Resistance .................................................................................................. 37 Subsection 3.1.12 Electromagnetic Interference Measurement ...................................................................... 37 Subsection 3.1.13 Partial Discharge Measurement ......................................................................................... 38 Subsection 3.1.14 Power Factor Tip-Up .......................................................................................................... 38 Subsection 3.1.15 Dielectric Frequency Response ......................................................................................... 38 Section 3.2 Online Condition Monitoring ............................................................................................................ 38 Subsection 3.2.1 Gas-in-Oil Monitor System .................................................................................................... 38 Subsection 3.2.2 Moisture in Oil Monitoring System ........................................................................................ 39 Subsection 3.2.3 Condenser Bushing Insulation Monitoring System .............................................................. 39 Subsection 3.2.4 Partial Discharge Monitoring ................................................................................................ 39 Subsection 3.2.5 Load Tap Changer Motor Current Monitoring ...................................................................... 39 Section 3.3 FM Approved Transformers ............................................................................................................. 40 Section 3.4 Transformer Aging .......................................................................................................................... 40 Chapter 4.0 REFERENCES..................................................................................................................................... 41 Section 4.1 FM Global ...................................................................................................................................... 41 Section 4.2 Other .............................................................................................................................................. 41 APPENDIX A GLOSSARY OF TERMS...................................................................................................... 41 APPENDIX B DOCUMENT REVISION HISTORY..................................................................................... 42 APPENDIX C BIBLIORGRAPHY................................................................................................................ 44
2, DS5-4,"List of Figures Fig. 1A.Typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using fuses on the primary of the transformers ................................................................... 4 Fig. 1B. Typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using a circuit breaker on the primary of the transformers ........................................... 5 Fig. 1C. Typical protective scheme for a two-winding, delta-wye connected transformer greater than 10,000 kVA in size .......................................................................................................................... 6 Fig. 1D. Typical protective scheme for transformers greater than 10,000 kVA in size with a secondary selective system .............................................................................................................................. 7 Fig. 1E. Alternative protective devices that achieve the same level of protection as those shown in Figures 1A, 1B, and 1C .................................................................................................................... 8 Fig. 2. Locations for transformer buildings and rooms ................................................................................ 18 Fig. 3. Minimum horizontal separation distance between outdoor liquid-insulated transformers and exposed walls of main buildings ....................................................................................................... 21 Fig. 4. Use of 2-hour fire barriers and separation distances for protection of exposed main building walls . 22 Fig. 5. Determination of exposed roof area ............................................................................................. 23 Fig. 6. Fire barriers for multiple outdoor transformers .............................................................................. 24 Fig. 7. Nozzle and piping arrangement for transformer using nozzles of ordinary capacity. ..................... 25 Fig. 8. Nozzle and piping arrangement for transformer using large-capacity nozzles. .............................. 26"
3, DS5-4,List of Tables Table 1. Recommended Additional Protection for Specialty Transformers .................................................. 10 Table 2. Routine Offline (De-Energized) Tests ............................................................................................. 13 Table 3. Focused Off-Line Tests ................................................................................................................... 14 Table 4. Recommended Construction for Transformer Buildings and Rooms ............................................. 18 Table 5. Separation for Exposure Protection of Main Building Walls (also refer to Figure 3) .................... 21 Table 6. Separation and Extent of 2-hour Fire Barriers for Protection of Main Building Walls (for dimensions refer to Figure 4) ........................................................................................................ 22 Table 7. Transformer Fire Exposure to Noncombustible Building Roof Where Separation from Wall is Based on a 3-hour Fire Barrier or Water Spray Protection ............................................................ 23 Table 8. Minimum Separation Distances Between Adjacent Transformers .................................................. 24 Table 9. General Criteria for Evaluating Thermographic Scans ................................................................... 29 Table 10A. Tests Typically Included in a Mineral Oil Screen Test ................................................................ 29 Table 10B. Tests Typically Included in an In-Service Natural Ester Oil Screen Test ................................... 29 Table 11. Gases Included in a Typical DGA Report ..................................................................................... 30 Table 12. Gases Represented by Chemical Formulas ................................................................................. 31 Table 13. Typical DGA Values for Transformers Filled with Mineral Oil with No Previous History ............ 31 Table 14. Gas Generation Rate for Transformers Filled with Mineral Oil ................................................... 32 Table 15. Typical Gas Values and Generation Rate for Transformers Filled with Silicon Oil with no previous history ............................................................................................................................. 32 Table 16. Typical Dissolved Gas Concentration Value for Transformers with Ester Oil with no previous sample history ............................................................................................................................... 32 Table 17. General Rules for Interpreting Power Factor Results .................................................................. 34 Table 18. Power Factor Limits for Transformers .......................................................................................... 34 Table 19. Interpretation of the Changes in Current Between Tests ............................................................. 35 Table 20. Power Factor Limits for Dry-Type Transformers ........................................................................... 35
4, DS5-4 S1.0,"1.0 SCOPE  This data sheet contains loss prevention recommendations related to the fire protection of ALL types of transformers. It also contains loss prevention recommendations related to the electrical protection, electrical testing, maintenance, and operation of large, critical distribution, power, and specialty transformers ONLY. For loss prevention recommendations related to electrical protection, electrical testing, maintenance, and operation of smaller and less-critical transformers, see Data Sheet 5-20, Electrical Testing.  See Data Sheet 5-20 for distribution transformers smaller than about 5 MVA. These transformers step down the utility voltage for use in a commercial or industrial property. Such transformers can usually be replaced within several days.  Specialty transformers include network transformers, rectifier transformers, arc furnace transformers, induction furnace transformers, generator step-up transformers, series reactors, and shunt reactors."
5, DS5-4 S1.1,"1.1 Changes  July 2019.  This document has been completely revised. Major changes include the following:  A. Updated differential protection recommendations for special transformers.  B. Improved the clarity and consistency of guidance on transformer online condition monitoring sensor recommendations, and their integration into an overall condition-based maintenance approach.  C. Improved contingency plan guidance.  D. Added new CAF guidance for protection of indoor transformers.  E. Revised content related to silicone insulating fluids.  F. Revised guidance for PCB-contaminated transformers.  G. Aligned B&M guidance with an asset integrity approach with some emphasis on recommendations on deficiency management."
6, DS5-4 S1.2,"1.2 Hazards  Power and distribution transformers are reliable devices with low failure rates. Adequate electrical protection, electrical testing, maintenance, and proper operation are key factors in reducing the risk of transformer explosions and fires.  FM Global’s loss statistics show that it is about 10 times more likely for a transformer to fail without a resulting explosion and fire. However, in some cases an internal fault may result in an overpressure of the transformer sufficient to cause tank rupture. Tank rupture will release substantial quantities of oil, with a resulting oil mist explosion and a long-burning, high heat release, oil pool fire. Fire protection and proper construction features are critical to limiting the extent of damage to adjacent structures and equipment in the event of a transformer fire."
7, DS5-4 S2.0,2.0 LOSS PREVENTION RECOMMENDATIONS
8, DS5-4 S2.1,2.1 Electrical Loss Prevention
9, DS5-4 S2.1.1,2.1.1 Electrical Protection
