Index,Section_ID,Word,Frequency
0,0,Mutual,2
1,0,Insurance,2
2,0,part,2
3,0,Company,2
4,0,Factory,2
5,0,system,1
6,0,transmitted,1
7,0,whole,1
8,0,form,1
9,0,means,1
10,0,FM,1
11,0,stored,1
12,0,electronic,1
13,0,mechanical,1
14,0,photocopying,1
15,0,recording,1
16,0,otherwise,1
17,0,without,1
18,0,written,1
19,0,retrieval,1
20,0,document,1
21,0,reproduced,1
22,0,may,1
23,0,Property,1
24,0,No,1
25,0,reserved,1
26,0,rights,1
27,0,All,1
28,0,TRANSFORMERS,1
29,0,2019,1
30,0,July,1
31,0,Sheets,1
32,0,Data,1
33,0,Prevention,1
34,0,Loss,1
35,0,permission,1
37,1,Subsection,35
38,1,Section,12
39,1,Transformers,6
40,1,Protection,6
41,1,3,6
42,1,Monitoring,6
43,1,38,5
44,1,39,4
45,1,Factor,4
46,1,41,4
47,1,20,4
48,1,Chapter,4
49,1,APPENDIX,3
50,1,17,3
51,1,Fire,3
52,1,System,3
53,1,28,3
54,1,27,3
55,1,Transformer,3
56,1,Resistance,3
57,1,33,3
58,1,37,3
59,1,Insulation,3
60,1,Human,2
61,1,Power,2
62,1,Frequency,2
63,1,40,2
64,1,Outdoor,2
65,1,FM,2
66,1,Tap,2
67,1,Testing,2
68,1,Current,2
69,1,Analysis,2
70,1,Measurement,2
71,1,Partial,2
72,1,Discharge,2
73,1,Response,2
74,1,19,2
75,1,RECOMMENDATIONS,2
76,1,Occupancy,2
77,1,Online,2
78,1,Condition,2
79,1,Electrical,2
80,1,Operation,2
81,1,Construction,2
82,1,Location,2
83,1,42,1
84,1,36,1
85,1,HISTORY,1
86,1,Winding,1
87,1,TERMS,1
88,1,C,1
89,1,BIBLIORGRAPHY,1
90,1,Core,1
91,1,Electromagnetic,1
92,1,35,1
93,1,DOCUMENT,1
94,1,Interference,1
95,1,B,1
96,1,REVISION,1
97,1,Monitor,1
98,1,OF,1
99,1,Changer,1
100,1,Aging,1
101,1,Approved,1
102,1,REFERENCES,1
103,1,Global,1
104,1,Motor,1
105,1,Other,1
106,1,Load,1
107,1,Dielectric,1
